frequency,sdre_mean,sdre_std,n_subjects,delta_power,theta_power,alpha_power,beta_power,plv,order_parameter,sdr
9.5,0.0016012032070780253,0.531102530783017,208,0.6277177545900877,0.1384741633805686,0.11963329765287689,0.11417478437646673,0.281585239133253,0.27475751122293,4.478368695764224
9.75,-0.002100883108974702,0.5262486929477361,208,0.6226982835733327,0.13990603920463804,0.12196737228798038,0.115428304934049,0.27960318530346145,0.2744879972987192,4.47466660944817
10.0,0.017030383679974385,0.5955368950880279,208,0.6270808737866317,0.13792576711344665,0.12059214108584297,0.11440121801407879,0.28152283483319324,0.27499706072081487,4.493797876237119
10.25,-0.020176057705902115,0.5220444902667893,208,0.6273574152991307,0.13712572488806363,0.12097994754288072,0.11453691226992498,0.2784473091098677,0.2731319736133673,4.4565914348512425
10.5,-0.0246198016313143,0.5586703833803396,208,0.6252829764721342,0.1399582336762858,0.12115767927026878,0.11360111058131131,0.29232908201308905,0.2802447015369215,4.45214769092583
10.75,-0.03211932783515257,0.5361921521841241,208,0.6264814754672737,0.13797163824387526,0.12123973040404273,0.11430715588480832,0.2768268838117997,0.27517243162170735,4.444648164721992
11.0,-0.010619675591357753,0.6091669465161067,208,0.6289839151601048,0.13736326019657472,0.12007347210709796,0.11357935253622259,0.2888218268949184,0.2778289931973154,4.466147816965788
11.25,-0.02520115410741473,0.5570919965904441,208,0.6232328452975501,0.13938792323451787,0.12230028465917481,0.11507894680875727,0.28393930448609,0.27415043243269577,4.451566338449731
11.5,0.004394334778003884,0.501528100849025,208,0.6277453833452563,0.1376345997424264,0.12028136904412509,0.11433864786819226,0.28578986762701875,0.277806012143211,4.481161827335149
11.75,-0.014505899801427379,0.5862526476703446,208,0.6254529213419465,0.13838428017508073,0.12060114471101516,0.11556165377195762,0.2828088480466099,0.275260924253335,4.462261592755718
12.0,0.030275318407232077,0.4957910522296738,208,0.6267427642114829,0.13916251886355335,0.12021854303360652,0.11387617389135725,0.279078442288751,0.27129873370655955,4.507042810964378
12.25,-0.008680963149650809,0.5607061299325223,208,0.6231896647445816,0.14069509742114986,0.12124520994486396,0.11487002788940462,0.28812214137104275,0.2768210450510453,4.468086529407494
12.5,0.04737903691045485,0.5201248646221553,208,0.627171375925375,0.13947328863771108,0.11946072400745811,0.1138946114294558,0.2821738060567255,0.2714320041083206,4.5241465294675995
12.75,-0.02382022781209562,0.5216552246099307,208,0.6273034938825636,0.13735039353486517,0.12145335171853419,0.113892760864037,0.28010664405501706,0.2745911339809522,4.45294726474505
13.0,0.027886906436567657,0.5779363911624609,208,0.6259082204762495,0.13971254690095145,0.12064560834517078,0.11373362427762829,0.28508649291224664,0.274941128886182,4.504654398993713
13.25,-0.03644394652850226,0.5491045451791369,208,0.6254406210736658,0.13883406752702523,0.12093953630650765,0.11478577509280127,0.2923330391202208,0.27579082541944966,4.440323546028643
13.5,-0.03288458692327054,0.5011350245716303,208,0.624294901520207,0.1394268227785431,0.12163406649910528,0.1146442092021446,0.2832358041702196,0.2737471233155601,4.443882905633875
13.75,-0.013827823690473938,0.4594339182911628,208,0.6259425456857101,0.13787555688969097,0.12149512973950533,0.11468676768509363,0.28108853978637177,0.27282786898301203,4.462939668866671
14.0,0.02632236464431522,0.5423474186286253,208,0.6263851601630092,0.1400851688711864,0.12005739239887009,0.11347227856693427,0.2870264237282662,0.2746103246603849,4.50308985720146
