frequency,sdre_mean,sdre_std,delta_power,theta_power,alpha_power,beta_power,plv,order_parameter
12.25,-0.007183670689326369,0.4745389612371441,0.6235499443290785,0.13830084514335578,0.12085006910840063,0.11729914141916502,0.28293314012455073,0.276498466026751
12.3,-0.05897476300183345,0.4766187473936369,0.6239844848198827,0.13686469863447492,0.12138653753016557,0.11776427901547684,0.28369375431546734,0.2746053626788253
12.35,-0.012189353840728601,0.5134151987052678,0.6255048890525268,0.1371285093313042,0.12061055711810975,0.11675604449805937,0.2805504870094381,0.2760197801562695
12.4,-0.029341872533881166,0.5258448826842405,0.6231350488705557,0.1382075943940111,0.12141959897707803,0.11723775775835521,0.29455816736791934,0.282415432182203
12.45,-0.014589652227463902,0.5425470751731579,0.6238591468729131,0.1383498127407535,0.120927054273017,0.1168639861133164,0.2795864629460326,0.2758917603482328
12.5,-0.007164881175806838,0.4667881341121201,0.6223351516343633,0.13872432865015535,0.12138807508084824,0.11755244463463321,0.2811408406393409,0.2765820106257839
12.55,-0.007933229619822308,0.5600427278140027,0.6230712827285677,0.13855328784306906,0.12156001503060124,0.11681541439776202,0.28234501855983957,0.2760408275312999
12.6,-0.016595199005556473,0.4946503904464094,0.6244512950193152,0.1383014993271895,0.12099394445219967,0.11625326120129557,0.2847544103939327,0.2785434889483253
12.65,-0.04048712740762087,0.49983783487826733,0.6197994495474968,0.14032536021281808,0.12240467192956304,0.11747051831012213,0.2861547232388731,0.27539061953600397
12.7,-0.005035182142411104,0.5052542846495708,0.6233839267887566,0.1376065900857618,0.12127984653910118,0.11772963658638033,0.2729758968753152,0.2698288965425527
12.75,0.01103733378072112,0.5381205330879286,0.6238098666877915,0.13869212952199483,0.12085699172733563,0.116641012062878,0.2834802114996266,0.27835525776191317
12.8,-0.03236520113464841,0.5448085091377536,0.6228247536309526,0.13933006533742837,0.12097741020240237,0.11686777082921675,0.29248926988829815,0.2856275610979772
12.85,-0.011993379878453898,0.5395544327565883,0.6235008934056101,0.1381040036442182,0.12095671971714249,0.11743838323302917,0.2821866126375145,0.27909353358703226
12.9,-0.01463215559087323,0.4707192315550111,0.6232643777165787,0.1380246934808328,0.12099243925027639,0.11771848955231214,0.2852570454118902,0.2790551688158026
12.95,-0.0396696106909538,0.513988295652485,0.6242215437420738,0.13806106557814607,0.12095254638072896,0.11676484429905118,0.2819699869374791,0.2812433814258243
13.0,-0.0669186241590347,0.5060060924282023,0.6209090955704561,0.13825992539726872,0.12227149735241381,0.11855948167986141,0.27490447495131193,0.2692873594666432
13.05,0.04224460035097774,0.4528051743917667,0.6248551616605188,0.13834135296176245,0.11941556916079374,0.11738791621692496,0.2816808870643037,0.2771579547597729
13.1,-0.03000187465902325,0.4566755692269446,0.6213818985574873,0.13882768627318035,0.1221043218281595,0.11768609334117294,0.27818969498065294,0.27559933872090664
13.15,-0.021193285904087363,0.5542688901831514,0.6220884629111018,0.13907331895300729,0.12135092783495026,0.11748729030094067,0.2801176756499109,0.2749716670657185
13.2,-0.06378884650171673,0.5666632039846827,0.6209903940862737,0.1389901671922077,0.12207512065704686,0.11794431806447177,0.281798105321884,0.2759333891078034
13.25,-0.02614497894066586,0.4927945820021935,0.6233965555900962,0.13915100957966187,0.12020514912343537,0.11724728570680655,0.27693915412318787,0.2684493495057535
13.3,-0.051797392627269796,0.5401356124238553,0.6220874164135015,0.13862988347338243,0.12178440710467262,0.11749829300844349,0.27799101709000457,0.2723907960646911
13.35,-0.04269904869044134,0.5328309726237329,0.6221022925312578,0.1387554644334376,0.1216079083028368,0.11753433473246777,0.28547632525462946,0.27735393230574523
13.4,-0.02365222985638899,0.5174807338375658,0.6262750058336862,0.13659607755619516,0.11923781663173107,0.11789109997838762,0.28453217446558104,0.2775150030349656
13.45,-0.040333909355383404,0.5418137190547031,0.6241487686515504,0.13725988059843014,0.12143230890972559,0.1171590418402939,0.2786589134336034,0.2697764343600354
13.5,-0.029974377791696517,0.5652863983937206,0.6230712046713364,0.1379509573580135,0.12162471390936963,0.11735312406128061,0.28072007964977064,0.2715529384912413
13.55,-0.0015538483926319968,0.5009441511890033,0.6235992274758074,0.13824435912002533,0.12071936527713897,0.11743704812702829,0.29077740280278025,0.2860840033084163
